64,64,1,2642930,115795,3055,6410
65,65,1,105058,493,54,347
66,66,1,537715,8231,413,970
67,67,1,2744430,115426,1110,6541
68,68,1,3358068,120876,8279,6408
69,69,1,4732,203,6,33
70,70,1,7224515,55681,10247,9479
71,71,1,33523622,1634124,21082,85067
72,72,1,52591,2233,187,255
73,73,1,75822,2978,147,243
74,74,1,43715,1550,109,1031
75,75,1,303956,18603,585,1745
76,76,1,238643,2429,5381,2325
77,77,1,237307,1896,74,260
78,78,1,1282413,37669,1732,1691
79,79,1,1497519,15504,353,1084
80,80,1,148226,355,47,178
81,81,1,484185,23296,1184,1858
82,82,1,300617,8133,2693,2911
83,83,1,92523,2323,40,134
84,84,1,7524,67,19,56
85,85,1,103927,3571,278,399
86,86,1,177707,6271,88,275
87,87,1,1751064,16430,945,1231
88,88,1,46746,439,66,55
89,89,1,746092,34839,537,2541
90,90,1,836830,82320,1279,7998
91,91,1,67429,438,23,23
92,92,1,2237404,72593,1830,3501
93,93,1,45455,2282,35,17
94,94,1,2063667,98804,11682,11443
95,95,1,2736733,58967,3492,7915
96,96,1,165698,8599,361,930
97,97,1,836544,40195,373,976
98,98,1,284666,16396,81,949
99,99,1,3371669,202676,3394,20086
100,100,1,195685,14338,171,1070
101,101,1,1098897,43875,1326,4702
102,102,1,893462,22326,833,943
103,103,1,225286,1731,193,206
104,104,1,264793,3283,853,0
105,105,1,5476737,286268,4083,12254
106,106,1,3578502,307435,2573,12248
107,107,1,304926,3305,130,275
108,108,1,247319,10138,153,639
109,109,1,296434,3327,142,377
110,110,1,125962,5048,139,369
111,111,1,419341,53572,168,3083
112,112,1,138988,7999,84,612
113,113,1,1774018,88417,1002,7686
114,114,1,1575525,52829,1524,5864
115,115,1,626688,25115,499,1392
116,116,1,219030,14303,398,1099
117,117,1,493662,7693,181,388
118,118,1,1017803,25122,628,1504
119,119,1,139955,4417,217,457
120,120,1,362009,5505,2356,1264
121,121,1,294387,15247,385,976
122,122,1,844653,11616,313,1518
123,123,1,1315873,9312,584,769
124,124,1,188003,9091,135,2814
125,125,1,1624771,84426,1130,5981
126,126,1,125970,935,507,262
127,127,1,205869,11198,120,446
128,128,1,98422,2926,106,798
129,129,1,426078,19323,245,945
130,130,1,33315,1365,24,91
131,131,1,1231518,32648,6221,9288
132,132,1,154872,7683,164,1734
133,133,1,72626,3652,120,219
134,134,1,366180,4364,4448,1997
135,135,1,264511,11736,532,743
136,136,1,192609,1345,24,126
137,137,1,95944,1354,181,117
138,138,1,154494,2163,147,211
139,139,1,53321,443,131,106
140,140,1,95085,909,52,193
141,141,1,91776,4604,46,357
142,142,1,764716,35765,483,1159
143,143,1,135337,7158,89,318
144,144,1,77630,1991,83,208
145,145,1,378750,5642,146,675
146,146,1,151709,9210,71,1103
147,147,1,175852,15909,200,852
148,148,1,5149,242,0,54
149,149,1,1905487,65854,2442,4490
150,150,1,9632678,810895,16139,59473
151,151,1,476389,16106,950,2077
152,152,1,754558,11985,1356,1757
153,153,1,762616,20159,336,899
154,154,1,199429,10175,66,539
155,155,1,691229,31892,197,1404
156,156,1,6412,49,0,2
157,157,1,108618,4989,58,274
158,158,1,79306,3809,127,670
159,159,1,812007,5894,951,851
160,160,1,55398,1170,22,336
161,161,1,773,2,0,0
162,162,1,581288,5075,725,1780
163,163,1,99619,3959,158,335
164,164,1,4850,22,1,1
165,165,1,226088,10844,302,555
166,166,1,651036,23338,442,1101
167,167,1,451356,3454,284,623
168,168,1,46571,4250,16,408
169,169,1,28539,681,25,45
170,170,1,12609,40,79,17
171,171,1,30021,569,42,44
172,172,1,471266,23634,460,1714
173,173,1,1073134,47793,1886,5358
174,174,1,18573,420,10,236
175,175,1,250193,5748,332,1197
